" Date","AGN Open","AGN Low","AGN High","AGN Close","AGN Adj. Close"
07-07-2014,"209.58 ","206.95 ","209.74 ","220.77 ","208.51 "
07-03-2014,"209.72 ","207.17 ","210.53 ","221.58 ","209.28 "
07-02-2014,"211.57 ","207.79 ","213.45 ","221.70 ","209.39 "
07-01-2014,"214.21 ","211.21 ","216.67 ","224.00 ","211.57 "
06-30-2014,"212.15 ","209.30 ","212.81 ","223.05 ","210.67 "
06-27-2014,"211.59 ","210.21 ","213.67 ","223.27 ","210.88 "
06-26-2014,"210.52 ","209.31 ","212.75 ","224.09 ","211.65 "
06-25-2014,"207.15 ","206.34 ","213.06 ","222.83 ","210.46 "
06-24-2014,"209.32 ","208.89 ","212.46 ","224.21 ","211.76 "
06-23-2014,"208.02 ","205.93 ","210.79 ","221.35 ","209.06 "
06-20-2014,"203.90 ","202.89 ","206.65 ","216.89 ","204.85 "
06-19-2014,"204.76 ","201.56 ","205.62 ","215.25 ","203.30 "
06-18-2014,"204.07 ","202.87 ","208.72 ","217.00 ","204.95 "
06-17-2014,"198.46 ","197.26 ","205.86 ","215.06 ","203.12 "
06-16-2014,"196.98 ","196.78 ","201.53 ","210.38 ","198.70 "
06-13-2014,"196.53 ","194.44 ","199.05 ","209.00 ","197.40 "
06-12-2014,"197.39 ","195.93 ","200.14 ","208.28 ","196.72 "
06-11-2014,"194.34 ","194.21 ","199.12 ","210.67 ","198.98 "
06-10-2014,"196.39 ","192.51 ","197.53 ","207.39 ","195.88 "
06-09-2014,"196.70 ","195.84 ","198.04 ","208.32 ","196.76 "
06-06-2014,"196.66 ","195.98 ","198.51 ","209.09 ","197.48 "
06-05-2014,"200.00 ","196.17 ","200.96 ","208.00 ","196.45 "
06-04-2014,"202.45 ","198.75 ","203.72 ","211.00 ","199.29 "
06-03-2014,"201.47 ","200.03 ","203.69 ","215.29 ","203.34 "
06-02-2014,"200.23 ","196.54 ","202.47 ","213.37 ","201.53 "
05-30-2014,"200.89 ","198.98 ","202.96 ","211.54 ","199.80 "
05-29-2014,"199.81 ","198.45 ","201.92 ","213.45 ","201.60 "
05-28-2014,"203.67 ","198.22 ","204.67 ","210.33 ","198.65 "
05-27-2014,"203.50 ","201.18 ","203.50 ","214.35 ","202.45 "
05-23-2014,"201.70 ","200.11 ","202.91 ","213.77 ","201.90 "
05-22-2014,"196.59 ","196.12 ","203.06 ","212.52 ","200.72 "
05-21-2014,"194.90 ","193.70 ","197.13 ","208.25 ","196.69 "
05-20-2014,"196.20 ","193.25 ","197.10 ","206.10 ","194.66 "
05-19-2014,"195.49 ","195.00 ","198.29 ","208.56 ","196.98 "
05-16-2014,"194.81 ","193.05 ","196.64 ","207.50 ","195.98 "
05-15-2014,"193.74 ","191.27 ","194.80 ","205.55 ","194.14 "
05-14-2014,"195.07 ","192.68 ","197.71 ","206.08 ","194.64 "
05-13-2014,"192.41 ","191.79 ","196.11 ","206.97 ","195.48 "
05-12-2014,"187.54 ","186.33 ","192.30 ","203.19 ","191.91 "
05-09-2014,"185.12 ","182.29 ","186.88 ","196.18 ","185.29 "
05-08-2014,"189.96 ","184.69 ","191.78 ","197.05 ","186.11 "
05-07-2014,"192.24 ","187.64 ","192.56 ","202.00 ","190.79 "
05-06-2014,"194.55 ","191.87 ","195.89 ","203.19 ","191.91 "
05-05-2014,"189.95 ","187.98 ","196.84 ","207.90 ","196.36 "
05-02-2014,"196.39 ","191.01 ","197.10 ","202.34 ","191.11 "
05-01-2014,"193.31 ","192.99 ","200.87 ","207.77 ","196.24 "
04-30-2014,"192.20 ","189.01 ","194.04 ","204.33 ","192.99 "
04-29-2014,"187.83 ","184.02 ","188.82 ","197.81 ","186.83 "
04-28-2014,"188.77 ","182.36 ","190.60 ","196.90 ","185.97 "
04-25-2014,"190.85 ","186.57 ","191.41 ","198.07 ","187.07 "
04-24-2014,"192.69 ","187.71 ","193.40 ","202.63 ","191.38 "
04-23-2014,"194.15 ","190.91 ","194.38 ","203.51 ","192.21 "
04-22-2014,"192.68 ","192.51 ","200.08 ","205.67 ","194.25 "
04-21-2014,"187.06 ","186.56 ","192.51 ","202.91 ","191.65 "
04-17-2014,"187.47 ","184.52 ","189.73 ","197.39 ","186.43 "
04-16-2014,"186.43 ","184.17 ","189.37 ","199.38 ","188.31 "
04-15-2014,"180.41 ","175.96 ","183.56 ","193.94 ","183.17 "
04-14-2014,"179.31 ","174.46 ","182.54 ","189.13 ","178.63 "
04-11-2014,"177.31 ","175.54 ","184.11 ","188.83 ","178.35 "
04-10-2014,"190.79 ","179.57 ","190.83 ","191.29 ","180.67 "
04-09-2014,"184.18 ","183.25 ","190.74 ","201.86 ","190.65 "
04-08-2014,"184.24 ","174.75 ","184.46 ","191.08 ","180.47 "
04-07-2014,"189.40 ","181.43 ","192.65 ","194.88 ","184.06 "
04-04-2014,"196.45 ","188.78 ","199.04 ","201.31 ","190.13 "
04-03-2014,"196.55 ","193.25 ","198.01 ","206.98 ","195.49 "
